company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Sungwing Gambia Ltd.,United Kingdom,hotel and motels,,300.0,,False,False,True,False
Hans Mehr Gambia Ltd.,Switzerland,groceries and related products,,4.0,,False,False,False,False
Blackwood Hodge (Gambia) Ltd.,United Kingdom,,,,,False,False,True,False
Copthorne Hotel (Gambia) Ltd.,Ireland,,,,,False,False,False,False
Gacem Ltd.,Italy,cement hydraulic,,,,False,False,False,False
