company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Banque Pour Le Commerce et L'Industrie Mer Rouge S A,France,other commercial banks,,150.0,1977.0,False,False,True,False
Shell Djibouti S A,Netherlands,petroleum products except bulk terminals,,87.0,,False,False,False,False
Bank Albaraka (Djibouti),Saudi Arabia,other commercial banks,,49.0,,True,False,False,False
Anciens Comptoirs Ries S A R L,Switzerland,industrial machinery and equipment,,31.0,,False,False,False,False
Societe De Transit et De Comerce S A R L,Switzerland,heating and air condition supplies,,20.0,,False,False,False,False
Sodeca S A,France,miscellaneous general stores,,13.0,1989.0,False,False,True,False
Banque Idosuez Mer Rouge SA,France,,,,,False,False,True,False
Red Sea Automotive SA,United Kingdom,,,,,False,False,False,False
