company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Mm Telefongy Rt SKereskedelmi Korl Tolt Feleloss Gu T Rsas G ,Hungary,communications equipment,3.3,230.0,1998.0,True,False,False,False
Derivados De Gasa S.A. De C.V. ,Mexico,,,19.0,,True,False,False,False
Caola Kozmetikai Es Haztartasvegyipari Reszvenytarsasag ,Hungary,"perfumes, cosmetics, toilet preparations",,,1999.0,True,False,False,False
