company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
"Myanmar Kasho Co., Ltd.",Japan,trading,41.0,8.0,1995.0,False,False,False,False
Myanmar Brewery Ltd.,Singapore,malt beverages,,200.0,1995.0,True,False,False,False
"Myanmar Cheil Co., Ltd.",South Korea,manufacturing industries,,85.0,1996.0,True,False,False,False
"Myanmar Nissan Co., Ltd.",Japan,automobile sales,,47.0,1994.0,False,False,False,False
Myanmar Motors Ltd.,Singapore,new and used car dealers,,21.0,1990.0,True,False,False,False
Myanmar Bpl Resources Ltd.,Singapore,,,,,True,False,False,False
Myanmar Jurong Engineering (Pte) Ltd.,Singapore,,,,,True,False,False,False
Myanmar National Industrial Gases Ltd.,Singapore,,,,,True,False,False,False
"Myanmar Posco Steel Co., Ltd.",South Korea,blast furnace and steel mills,,,,True,False,False,False
