company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Canadian Occidental Yemen Operation Company Ltd.,Canada,oil and gas field services,9.6,1000,,False,False,False,False
Arabia Felix Industries Ltd.,Netherlands,agricultural chemicals,2.8,50,1984.0,False,False,False,False
Total Yemen,France,drilling oil and gas wells,0.034,265,,False,True,False,False
Yemen Hunt Oil Company,United States,oil and gas exploration,,1200,1964.0,False,True,False,False
