company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
La compagnie minière d'Akouta,Japan,mining,89.9,1255.0,1978.0,False,True,False,False
Total Texaco Niger S A,France,petroleum products except bulk terminals,25.2,45.0,,False,False,True,False
Compagnie Francaise De L'Africque Occidentale,France,new and used car dealers,10.1,45.0,1963.0,False,False,True,False
Transafricaine Auto,Luxembourg,vehicle supplies and new parts,,5.0,1973.0,False,False,False,False
Bull Niger,France,,,,,False,False,True,False
Herlicq (Nigerienn Des Ets),France,,,,,False,False,True,False
