company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Brasseries Et Limonaderies Du Rwanda S A,Netherlands,malt beverages,6494.3,1000,,False,False,False,False
Hatton and Cookson S A,United Kingdom,construction materials,,36,,False,False,False,False
