company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Ethio-Japanese Synthetic Textiles Share Co.,Japan,textiles,6.1,3340.0,1996.0,False,False,False,False
Basf (Ethiopia) Ltd P L C,Germany,chemicals and allied products,4.3,9.0,,False,False,False,False
Beiner Co.,Germany,drugs proprietaries and sundries,0.7,5.0,,False,False,False,False
Afcor (Ethiopia) P L C,United Kingdom,computer equipment/software,0.5,50.0,,False,False,False,False
Mitsubishi Ethiopia Trading Pte Ltd. Co.,Japan,,,17.0,1967.0,False,False,False,False
Addis Ababa Hilton,United Kingdom,hotel and motels,,320.0,,False,False,False,False
Shell Ethiopia Ltd.,Netherlands,petroleum products except bulk terminals,,140.0,,False,False,False,False
Ayderus Hussein Mohamed Farag,India,groceries and related products,,15.0,,True,False,False,False
Ethiopian Pioneer Hi-Bred Seeds Inc.,United States,,,,,False,False,False,False
Gellatly Hankey and Co. (Ethiopia) S C,United Kingdom,,,,,False,False,False,False
Inchape Ethiopia Ltd.,United Kingdom,,,,,False,False,False,False
Jos Hansen & Soehne (Ethiopia) Ltd.,Germany,,,,,False,False,False,False
