company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
John Walkden and Cie,United Kingdom,piece goods,39.2,74.0,,False,False,False,False
Societe Beninoise De Pieces Automobiles De Tourisme,France,new and used car dealers,,50.0,,False,False,True,False
Promo Pharma S A R L,France,drugs proprietaries and sundries,,15.0,1991.0,False,False,True,False
Etde Benin,France,,,,,False,False,True,False
Prezioso Benin,France,,,,,False,False,True,False
