company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Hoechst Nepal Private Ltd.,France,pharmaceutical preparations,5.6,304.0,1986,False,False,False,False
Nepal Hokke (Pvt.) Ltd.,Japan,hotel,0.4,48.0,1991,False,False,False,False
Nepal Grindlays Bank Limited,Australia,,,380.0,1986,False,False,False,False
Hotel Himalaya Pte Ltd.,Japan,hotel and motels,,200.0,1987,False,False,False,False
Trans-Himalayan Tour,Japan,tourism and hotel,,,1969,False,False,False,False
