company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
"Digicom, S.A.",United States,radiotelephone communications,,68.0,1998.0,False,False,False,False
Club Mediterranee D'haiti S.A.,France,hotel and motels,,,,False,False,True,False
Dhl International Haiti S.A.,United States,,,,,False,False,False,False
Gaz Industries Associates S.A.,United States,industrial gases,,,,False,False,False,False
Heritage Galerie (S.A.),United States,wood products,,,,False,False,False,False
Shell Company (W.I.) Ltd.,Netherlands,petroleum products except bulk terminals,,,,False,False,False,False
