company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Togo Et Shell S A,Netherlands,petroleum products except bulk terminals,25.2,96,,False,False,False,False
Societe De Gerance De Representation Et Courtage Sarl,France,insurance carriers,0.2,8,,False,False,False,False
Scoa Togo Sa,France,groceries and related products,,210,,False,False,False,False
Commerciale Et Industrielle De La Cote De L'Afrique Et Compagnie Francaise de L'Afrique Occidentale,France,vehicle supplies and new parts,,80,1972.0,False,False,False,False
Togo Representation,India,groceries and related products,,20,,True,False,False,False
