company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Samoa Breweries Limited,Australia,malt beverages,9.1,140.0,1978.0,False,False,False,False
Yazaki Western Samoa Limited,Japan,motor vehicle parts,,2300.0,1995.0,False,False,False,False
Bank of Western Samoa,Australia,state commercial banks,,198.0,1959.0,False,False,False,False
Boral Gas (Western Samoa) Ltd.,Australia,,,,,False,False,False,False
Burns Philp Western Samoa Inc.,Fiji,new and used car dealers,,,1992.0,True,False,False,False
Burns Philp Western Samoa Ltd.,Fiji,,,,,True,False,False,False
Morris Hedstrom Samoa Limited,Hong Kong,miscellaneous durable goods,,,,True,False,False,False
"Rothmans Tobacco Co., Ltd.",Australia,tobacco,,,,False,False,False,False
Western Samoa Kitano Ltd.,Japan,,,,,False,False,False,False
