company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Yazaki EDS Samoa Ltd.,Japan,motor vehicle parts,31.8,1831.0,1995.0,False,False,False,False
Samoa Breweries Limited,Australia,malt beverages,9.1,140.0,1978.0,False,False,False,False
Western Samoa Kitano Ltd.,Japan,hotel and motels,5.0,71.0,1991.0,False,False,False,False
Wespac Bank Samoa Limited,Australia,state commercial banks,2.2,92.0,,False,False,False,False
ANZ Bank,Australia,state commercial banks,,198.0,1959.0,False,False,False,False
Boral Gas (Western Samoa) Ltd.,Australia,,,,,False,False,False,False
Morris Hedstrom Samoa Limited,Malaysia,miscellaneous durable goods,,,1979.0,True,False,False,False
British American Tobacco,Australia,tobacco,,,,False,False,False,False
