company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Shell Exploration and Development Madagascar B V,Netherlands,oil and gas exploration,4286.1,66.0,,False,True,False,False
BFV Société Générale SA,France,commercial banks,8.7,800.0,1997.0,False,False,True,False
Hoechst Madagascar S A,France,chemicals,7.7,69.0,1969.0,False,False,True,False
Floreal Madagascar SA,Mauritius,knitting mills nec,7.0,4100.0,,True,False,False,False
Cimelta Madagascar S A,Ireland,nonresidential construction,4.7,600.0,,False,False,False,False
Landis Madagascar S A,Germany,vehicle supplies and new parts,4.1,95.0,,False,False,False,False
Madagascar Daiho Corp. S A,Japan,construction,2.5,5.0,1996.0,False,False,False,False
N C S International S A,Mauritius,general clothing male,1.5,2300.0,,True,False,False,False
Fimapila SARL,France,vehicle supplies and new parts,1.2,20.0,1997.0,False,False,True,False
Bni Crédit Lyonnais Madagascar S A,France,commercial banks,,1200.0,,False,False,True,False
Soeciété Malgache de Pécherie,Japan,fishing,,1031.0,1966.0,False,True,False,False
Société Des Cigarette Melia De Madagascar,France,cigarettes,,427.0,,False,False,True,False
Madagascar Hilton Sarl,United Kingdom,hotel and motels,,234.0,,False,False,False,False
Société Industrielle Des Produits Electriques Et Dérivés,France,storage batteries,,220.0,,False,False,True,False
Polo Garments Majunga S A,Belgium,textiles,,200.0,,False,False,False,False
Banque Sbm Madagascar S A,Hong Kong,commercial banks,,93.0,1998.0,True,False,False,False
Soval Madagascar,France,hardware,,9.0,,False,False,True,False
Bull Madagascar Sa,France,,,,,False,False,True,False
Demand Ivato,France,,,,,False,False,True,False
I B M Madagascar,United States,,,,,False,False,False,False
Inframed,France,,,,,False,False,True,False
Jullien Ocean Indien Expansion,France,,,,,False,False,True,False
Silac,France,,,,,False,False,True,False
Geodis Overseas Madagascar,France,,,,,False,False,True,False
Somaphar,France,,,,,False,False,True,False
Triv,France,,,,,False,False,True,False
Bachy,France,,,,,False,False,True,False
