company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
"Atlantic Tele-Network Inc. of Haiti, SA",United States,radiotelephone communications,,68.0,1998.0,False,False,False,False
Lynx Air International Inc,United States,air transport scheduled,,6.0,,False,False,False,False
Lynx Air International Inc,United States,,,4.0,,False,False,False,False
Club Méditerranée D'haiti S.A.,France,hotel and motels,,,,False,False,True,False
Dhl International Haiti S.A.,United States,,,,,False,False,False,False
Gaz Industries Associates S.A.,United States,industrial gases,,,,False,False,False,False
Héritage Galerie (S.A.),United States,wood products,,,,False,False,False,False
