company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Canadian Occidental Yemen Operation Company Ltd.,Canada,oil and gas field services,9.6,1000.0,,False,False,False,False
Arabia Felix Industries ltd.,Netherlands,agricultural chemicals,2.8,50.0,1984.0,False,False,False,False
Total Yemen,France,drilling oil and gas wells,0.03,265.0,,False,True,False,False
Yemen Hunt Oil Company,United States,oil and gas exploration,,1200.0,1964.0,False,True,False,False
Shell Exploration and Development Yemen,Netherlands,crude petroleum and natural gas,,70.0,,False,True,False,False
Asharq,United Kingdom,,,,,False,False,True,False
Astra,United Kingdom,,,,,False,False,True,False
