company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
"Emerald Resort Pvt., Ltd.",Japan,hotel,6.4,,1991,False,False,False,False
Yeoman Agencies (Maldives) Pte. Ltd.,Singapore,wines and distilled beverages,,20.0,1996,True,False,False,False
State Bank of India,India,state commercial banks,,,1974,True,False,False,False
