company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Gas Diana Transport Inc.,Japan,sea freight transport,48.6,,1976.0,False,False,False,False
Dia Maritime Inc.,Japan,,20.8,,1989.0,False,False,False,False
Gas Asia Shipping Inc.,Japan,sea freight transport,7.2,,,False,False,False,False
Laurel Shipping Corp.,Japan,sea freight transport,5.5,,1973.0,False,False,False,False
"T.S. Central Shipping Co., Ltd.",Japan,sea freight transport,5.4,3.0,1978.0,False,False,False,False
"Naiad Shipping Co., Ltd.",Japan,sea freight transport,3.4,,1989.0,False,False,False,False
"Scorpa Pranedya Maritime, Inc.",Japan,sea freight transport,2.8,,1979.0,False,False,False,False
"Scorpa Pranedya Tanker, Inc.",Japan,sea freight transport,1.5,,1979.0,False,False,False,False
"Rioship Co., Ltd.",Japan,sea freight transport,,,1973.0,False,False,False,False
Salt Marine Inc.,Japan,sea freight transport,,4.0,1978.0,False,False,False,False
"Monc Liberia, Inc.",Japan,sea freight transport,,4.0,1996.0,False,False,False,False
Transpacific Marine Inc.,Japan,sea freight transport,,4.0,1996.0,False,False,False,False
Atlantic Spirit Shipping Inc.,Japan,sea freight transport,,3.0,1997.0,False,False,False,False
Interocean Car Carriers Inc.,Japan,sea freight transport,,3.0,1990.0,False,False,False,False
Overseas Car Carriers Inc.,Japan,sea freight transport,,3.0,1989.0,False,False,False,False
World Car Carrier Inc.,Japan,sea freight transport,,3.0,1988.0,False,False,False,False
Mol-Nic Transport Ltd.,Japan,financing,,,1989.0,False,False,False,False
Golden Sea Carrier Inc.,Japan,sea freight transport,,,1994.0,False,False,False,False
"Modec Liberia, Inc.",Japan,sea freight transport,,,1986.0,False,False,False,False
Solar Shipholding Corp.,Japan,,,,1992.0,False,False,False,False
Ace Navigation Inc,Japan,sea freight transport,,,,False,False,False,False
Cm Pacific Maritime Corporation,Japan,sea freight transport,,,,False,False,False,False
Escravos Fso Inc,Japan,sea freight transport,,,,False,False,False,False
F Corporation Ltd,Japan,sea freight transport,,,,False,False,False,False
Graciela Shipping Inc,Japan,sea freight transport,,,,False,False,False,False
Lepta Shipping Company Ltd,Japan,sea freight transport,,,,False,False,False,False
Orient Gas Transport,Japan,,,,,False,False,False,False
Buccimazza Industrial Works Corporation Ltd,Italy,,,,,False,False,False,False
Royal Maritime Corp.,Japan,sea freight transport,,,1989.0,False,False,False,False
