company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,bordering_country,former_col_power
Zaire Services Des Enterprises Pétrolières,France,oil and gas field services,,2500,,False,False,False,False
Utex Africa,Belgium,cotton fabric mills,,2300,,False,False,False,True
Enterprise Generale Forrest S A R L,Congo,engineering services,,1400,,True,False,True,False
Plantation Lever Au Zaire Sarl,United Kingdom,drilling oil and gas wells,,400,,False,True,False,False
Japan Petroleum Congo S.A.R.L.,Japan,research and development relatif to petroleum,,1,1973.0,False,False,False,False
