company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Warn Seas Ltd.,United Kingdom,management consulting services,2.9,12.0,,False,False,False,False
Port Sudan Refinery Ltd.,Netherlands,,,206.0,,False,False,False,False
The Shell Company of Sudan Ltd.,Netherlands,petroleum products except bulk terminals,,200.0,1924.0,False,False,False,False
World Development and Trade,United States,,,,,False,False,False,False
Nile Corporation Ltd,South Korea,,,,,True,False,False,False
