company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Eastern Steel Industry Corp.,Japan,motor vehicles parts,5.4,158,1994,False,False,False,False
"T.TH.K. Co., Ltd.",Japan,motor vehicles,,39,1995,False,False,False,False
"Cambodia Suzuki Motor Co., Ltd.",Japan,motor vehicles,,37,2000,False,False,False,False
