company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
La Compagnie Minière d'Akouta,Japan,mining,71.8,1200.0,1978.0,False,True,False,False
Total Texaco Niger S A,Japan,petroleum products except bulk terminals,25.2,45.0,,False,False,False,False
Compagnie Francaise De L'Afrique Occidentale,France,new and used car dealers,10.1,45.0,1963.0,False,False,True,False
Transafricaine Auto,France,vehicle supplies and new parts,,5.0,1973.0,False,False,True,False
Bull Niger,France,,,,,False,False,True,False
Herlicq (Nigerienn Des Ets),France,,,,,False,False,True,False
Societé De Distribution Et D'Exportation Du Niger S A,France,other trusts,,,,False,False,True,False
